2022-05-20 11:25:52,431 INFO [root] [base.py (__init__:13] - 初始化driver<selenium.webdriver.chrome.webdriver.WebDriver (session="52040294435438543232603ec49d7080")>
2022-05-20 11:25:52,432 INFO [root] [base.py (base_input:47] - 准备给元素('xpath', "//label[contains(text(), '登录名')]/following-sibling::div/div/input")输入内容:shuirr
2022-05-20 11:25:52,432 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//label[contains(text(), '登录名')]/following-sibling::div/div/input")
2022-05-20 11:25:52,488 INFO [root] [base.py (base_input:51] - 正在给元素('xpath', "//label[contains(text(), '登录名')]/following-sibling::div/div/input")清空
2022-05-20 11:25:52,558 INFO [root] [base.py (base_input:54] - 正在给元素('xpath', "//label[contains(text(), '登录名')]/following-sibling::div/div/input")输入内容:shuirr
2022-05-20 11:25:52,558 INFO [root] [base.py (base_input:47] - 准备给元素('xpath', "//label[contains(text(), '密码')]/following-sibling::div/div/input")输入内容:ok111111
2022-05-20 11:25:52,558 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//label[contains(text(), '密码')]/following-sibling::div/div/input")
2022-05-20 11:25:52,600 INFO [root] [base.py (base_input:51] - 正在给元素('xpath', "//label[contains(text(), '密码')]/following-sibling::div/div/input")清空
2022-05-20 11:25:52,732 INFO [root] [base.py (base_input:54] - 正在给元素('xpath', "//label[contains(text(), '密码')]/following-sibling::div/div/input")输入内容:ok111111
2022-05-20 11:25:52,732 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '登录')]")
2022-05-20 11:25:52,732 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '登录')]")
2022-05-20 11:25:53,805 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '藏品管理')]")
2022-05-20 11:25:53,805 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '藏品管理')]")
2022-05-20 11:25:54,968 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '征集管理')]")
2022-05-20 11:25:54,968 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '征集管理')]")
2022-05-20 11:25:56,013 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '线索录入')]")
2022-05-20 11:25:56,013 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '线索录入')]")
2022-05-20 11:25:57,069 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '新增')]")
2022-05-20 11:25:57,069 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '新增')]")
2022-05-20 11:25:57,121 INFO [root] [base.py (base_input:47] - 准备给元素('xpath', "(//label[contains(text(), '线索名称')]/following-sibling::div/div/input)[2]")输入内容:藏品线索1
2022-05-20 11:25:57,122 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//label[contains(text(), '线索名称')]/following-sibling::div/div/input)[2]")
2022-05-20 11:25:57,678 INFO [root] [base.py (base_input:51] - 正在给元素('xpath', "(//label[contains(text(), '线索名称')]/following-sibling::div/div/input)[2]")清空
2022-05-20 11:25:57,831 INFO [root] [base.py (base_input:54] - 正在给元素('xpath', "(//label[contains(text(), '线索名称')]/following-sibling::div/div/input)[2]")输入内容:藏品线索1
2022-05-20 11:25:57,832 INFO [root] [base.py (base_input:47] - 准备给元素('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")输入内容:水荣荣
2022-05-20 11:25:57,832 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")
2022-05-20 11:25:57,874 INFO [root] [base.py (base_input:51] - 正在给元素('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")清空
2022-05-20 11:25:57,991 INFO [root] [base.py (base_input:54] - 正在给元素('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")输入内容:水荣荣
2022-05-20 11:25:57,992 INFO [root] [base.py (base_keys:35] - 正在向下
2022-05-20 11:25:57,992 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")
2022-05-20 11:25:58,033 INFO [root] [base.py (base_keys:37] - 正在回车
2022-05-20 11:25:58,033 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")
2022-05-20 11:25:58,088 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "(//span[contains(text(), '保存')])[1]")
2022-05-20 11:25:58,088 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//span[contains(text(), '保存')])[1]")
2022-05-20 11:25:58,152 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '取消')]")
2022-05-20 11:25:58,152 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '取消')]")
2022-05-20 11:25:59,651 INFO [root] [base.py (base_get_text:70] - 正在获取元素('xpath', "//p[contains(@class, 'el-message__content')]")的文本
2022-05-20 11:25:59,651 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//p[contains(@class, 'el-message__content')]")
2022-05-20 11:26:00,686 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '新增')]")
2022-05-20 11:26:00,686 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '新增')]")
2022-05-20 11:26:00,710 INFO [root] [base.py (base_input:47] - 准备给元素('xpath', "(//label[contains(text(), '线索名称')]/following-sibling::div/div/input)[2]")输入内容:藏品线索2
2022-05-20 11:26:00,710 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//label[contains(text(), '线索名称')]/following-sibling::div/div/input)[2]")
2022-05-20 11:26:01,259 INFO [root] [base.py (base_input:51] - 正在给元素('xpath', "(//label[contains(text(), '线索名称')]/following-sibling::div/div/input)[2]")清空
2022-05-20 11:26:01,429 INFO [root] [base.py (base_input:54] - 正在给元素('xpath', "(//label[contains(text(), '线索名称')]/following-sibling::div/div/input)[2]")输入内容:藏品线索2
2022-05-20 11:26:01,430 INFO [root] [base.py (base_input:47] - 准备给元素('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")输入内容:水荣荣
2022-05-20 11:26:01,430 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")
2022-05-20 11:26:01,460 INFO [root] [base.py (base_input:51] - 正在给元素('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")清空
2022-05-20 11:26:01,528 INFO [root] [base.py (base_input:54] - 正在给元素('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")输入内容:水荣荣
2022-05-20 11:26:01,528 INFO [root] [base.py (base_keys:35] - 正在向下
2022-05-20 11:26:01,528 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")
2022-05-20 11:26:01,567 INFO [root] [base.py (base_keys:37] - 正在回车
2022-05-20 11:26:01,567 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//label[contains(text(), '指派人')]/following-sibling::div/div/div/input)[1]")
2022-05-20 11:26:01,620 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "(//span[contains(text(), '保存')])[1]")
2022-05-20 11:26:01,621 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//span[contains(text(), '保存')])[1]")
2022-05-20 11:26:01,673 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '取消')]")
2022-05-20 11:26:01,673 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '取消')]")
2022-05-20 11:26:03,122 INFO [root] [base.py (base_get_text:70] - 正在获取元素('xpath', "//p[contains(@class, 'el-message__content')]")的文本
